image,survey_code,species,comments,quadrat,presabs
pic_s13_2017_ne_v_q01.png,s13_2017_ne_v,crimson clover,NA,q01,0
pic_s13_2017_ne_v_q01.png,s13_2017_ne_v,red clover,NA,q01,1
pic_s13_2017_ne_v_q01.png,s13_2017_ne_v,sweet clover,NA,q01,0
pic_s13_2017_ne_v_q01.png,s13_2017_ne_v,white clover,NA,q01,0
pic_s13_2017_ne_v_q01.png,s13_2017_ne_v,sainfoin,NA,q01,1
pic_s13_2017_ne_v_q01.png,s13_2017_ne_v,lucerne,NA,q01,1
pic_s13_2017_ne_v_q01.png,s13_2017_ne_v,bird's-foot trefoil,NA,q01,1
pic_s13_2017_ne_v_q01.png,s13_2017_ne_v,black medick,NA,q01,1
pic_s13_2017_ne_v_q01.png,s13_2017_ne_v,common vetch,NA,q01,0
pic_s13_2017_ne_v_q01.png,s13_2017_ne_v,black knapweed,NA,q01,0
pic_s13_2017_ne_v_q01.png,s13_2017_ne_v,yarrow,NA,q01,0
pic_s13_2017_ne_v_q01.png,s13_2017_ne_v,oxeye daisy,NA,q01,0
pic_s13_2017_ne_v_q01.png,s13_2017_ne_v,musk mallow,NA,q01,0
pic_s13_2017_ne_v_q01.png,s13_2017_ne_v,wild carrot,NA,q01,0
pic_s13_2017_ne_v_q01.png,s13_2017_ne_v,red campion,NA,q01,0
pic_s13_2017_ne_v_q01.png,s13_2017_ne_v,white campion,NA,q01,1
pic_s13_2017_ne_v_q01.png,s13_2017_ne_v,phacelia,NA,q01,0
pic_s05_2017_ne_q01.png,s05_2017_ne,alsike clover,NA,q01,1
pic_s05_2017_ne_q01.png,s05_2017_ne,crimson clover,NA,q01,1
pic_s05_2017_ne_q01.png,s05_2017_ne,red clover,NA,q01,1
pic_s05_2017_ne_q01.png,s05_2017_ne,sweet clover,NA,q01,0
pic_s05_2017_ne_q01.png,s05_2017_ne,white clover,NA,q01,0
pic_s05_2017_ne_q01.png,s05_2017_ne,sainfoin,NA,q01,0
pic_s05_2017_ne_q01.png,s05_2017_ne,lucerne,NA,q01,0
pic_s05_2017_ne_q01.png,s05_2017_ne,bird's-foot trefoil,NA,q01,1
pic_s05_2017_ne_q01.png,s05_2017_ne,black medick,NA,q01,0
pic_s05_2017_ne_q01.png,s05_2017_ne,common vetch,NA,q01,0
pic_s05_2017_ne_q01.png,s05_2017_ne,black knapweed,NA,q01,0
pic_s05_2017_ne_q01.png,s05_2017_ne,yarrow,NA,q01,0
pic_s05_2017_ne_q01.png,s05_2017_ne,oxeye daisy,NA,q01,0
pic_s05_2017_ne_q01.png,s05_2017_ne,musk mallow,NA,q01,0
pic_s05_2017_ne_q01.png,s05_2017_ne,wild carrot,NA,q01,0
pic_s05_2017_ne_q01.png,s05_2017_ne,red campion,NA,q01,0
pic_s05_2017_ne_q01.png,s05_2017_ne,white campion,NA,q01,0
pic_s05_2017_ne_q01.png,s05_2017_ne,phacelia,NA,q01,0
pic_s08_2017_ne_q01.png,s08_2017_ne,alsike clover,NA,q01,1
pic_s08_2017_ne_q01.png,s08_2017_ne,crimson clover,NA,q01,1
pic_s08_2017_ne_q01.png,s08_2017_ne,red clover,NA,q01,0
pic_s08_2017_ne_q01.png,s08_2017_ne,sweet clover,NA,q01,0
pic_s08_2017_ne_q01.png,s08_2017_ne,white clover,NA,q01,1
pic_s08_2017_ne_q01.png,s08_2017_ne,sainfoin,NA,q01,0
pic_s08_2017_ne_q01.png,s08_2017_ne,lucerne,NA,q01,1
pic_s08_2017_ne_q01.png,s08_2017_ne,bird's-foot trefoil,NA,q01,1
pic_s08_2017_ne_q01.png,s08_2017_ne,black medick,NA,q01,1
pic_s08_2017_ne_q01.png,s08_2017_ne,common vetch,NA,q01,1
pic_s08_2017_ne_q01.png,s08_2017_ne,black knapweed,NA,q01,1
pic_s08_2017_ne_q01.png,s08_2017_ne,yarrow,NA,q01,0
pic_s08_2017_ne_q01.png,s08_2017_ne,oxeye daisy,NA,q01,1
pic_s08_2017_ne_q01.png,s08_2017_ne,musk mallow,NA,q01,0
pic_s08_2017_ne_q01.png,s08_2017_ne,wild carrot,NA,q01,1
pic_s08_2017_ne_q01.png,s08_2017_ne,red campion,NA,q01,0
pic_s08_2017_ne_q01.png,s08_2017_ne,white campion,NA,q01,0
pic_s08_2017_ne_q01.png,s08_2017_ne,phacelia,NA,q01,0
pic_s28_2017_ne_q01.png,s28_2017_ne,alsike clover,NA,q01,1
pic_s28_2017_ne_q01.png,s28_2017_ne,crimson clover,NA,q01,0
pic_s28_2017_ne_q01.png,s28_2017_ne,red clover,NA,q01,1
pic_s28_2017_ne_q01.png,s28_2017_ne,sweet clover,NA,q01,0
pic_s28_2017_ne_q01.png,s28_2017_ne,white clover,NA,q01,0
pic_s28_2017_ne_q01.png,s28_2017_ne,sainfoin,NA,q01,1
pic_s28_2017_ne_q01.png,s28_2017_ne,lucerne,NA,q01,0
pic_s28_2017_ne_q01.png,s28_2017_ne,bird's-foot trefoil,NA,q01,1
pic_s28_2017_ne_q01.png,s28_2017_ne,black medick,NA,q01,0
pic_s28_2017_ne_q01.png,s28_2017_ne,common vetch,NA,q01,0
pic_s28_2017_ne_q01.png,s28_2017_ne,black knapweed,NA,q01,0
pic_s28_2017_ne_q01.png,s28_2017_ne,yarrow,NA,q01,0
pic_s28_2017_ne_q01.png,s28_2017_ne,oxeye daisy,NA,q01,0
pic_s28_2017_ne_q01.png,s28_2017_ne,musk mallow,NA,q01,0
pic_s28_2017_ne_q01.png,s28_2017_ne,wild carrot,NA,q01,0
pic_s28_2017_ne_q01.png,s28_2017_ne,red campion,NA,q01,0
pic_s28_2017_ne_q01.png,s28_2017_ne,white campion,NA,q01,0
pic_s28_2017_ne_q01.png,s28_2017_ne,phacelia,NA,q01,0
pic_s01_2017_ne_q01.png,s01_2017_ne,alsike clover,NA,q01,1
pic_s01_2017_ne_q01.png,s01_2017_ne,crimson clover,NA,q01,1
pic_s01_2017_ne_q01.png,s01_2017_ne,red clover,NA,q01,1
pic_s01_2017_ne_q01.png,s01_2017_ne,sainfoin,NA,q01,0
pic_s01_2017_ne_q01.png,s01_2017_ne,bird's-foot trefoil,NA,q01,1
pic_s01_2017_ne_q01.png,s01_2017_ne,black knapweed,NA,q01,0
pic_s01_2017_ne_q01.png,s01_2017_ne,musk mallow,NA,q01,1
pic_s01_2017_ne_q01.png,s01_2017_ne,phacelia,"** Phacelia seen as cut stems on the ground and counted as present (as it is a sown species in the mix and has grown in the PBR plot), q02, q03, q06, q10",q01,0
pic_s01_2017_ne_q01.png,s01_2017_ne,gold of pleasure,NA,q01,0
pic_s02_2017_ne_q01.png,s02_2017_ne,alsike clover,NA,q01,1
pic_s02_2017_ne_q01.png,s02_2017_ne,crimson clover,NA,q01,0
pic_s02_2017_ne_q01.png,s02_2017_ne,red clover,NA,q01,1
pic_s02_2017_ne_q01.png,s02_2017_ne,sweet clover,NA,q01,0
pic_s02_2017_ne_q01.png,s02_2017_ne,white clover,NA,q01,1
pic_s02_2017_ne_q01.png,s02_2017_ne,sainfoin,NA,q01,1
pic_s02_2017_ne_q01.png,s02_2017_ne,lucerne,NA,q01,1
pic_s02_2017_ne_q01.png,s02_2017_ne,bird's-foot trefoil,NA,q01,1
pic_s02_2017_ne_q01.png,s02_2017_ne,black medick,NA,q01,1
pic_s02_2017_ne_q01.png,s02_2017_ne,common vetch,NA,q01,0
pic_s02_2017_ne_q01.png,s02_2017_ne,black knapweed,NA,q01,0
pic_s02_2017_ne_q01.png,s02_2017_ne,fenugreek,NA,q01,0
pic_s02_2017_ne_q01.png,s02_2017_ne,red campion,NA,q01,0
pic_s02_2017_ne_q01.png,s02_2017_ne,phacelia,NA,q01,0
pic_s24_2017_ne_q01.png,s24_2017_ne,alsike clover,NA,q01,1
pic_s24_2017_ne_q01.png,s24_2017_ne,crimson clover,NA,q01,0
pic_s24_2017_ne_q01.png,s24_2017_ne,red clover,NA,q01,1
pic_s24_2017_ne_q01.png,s24_2017_ne,sweet clover,NA,q01,0
pic_s24_2017_ne_q01.png,s24_2017_ne,white clover,NA,q01,0
pic_s24_2017_ne_q01.png,s24_2017_ne,sainfoin,NA,q01,0
pic_s24_2017_ne_q01.png,s24_2017_ne,lucerne,NA,q01,1
pic_s24_2017_ne_q01.png,s24_2017_ne,bird's-foot trefoil,NA,q01,1
pic_s24_2017_ne_q01.png,s24_2017_ne,black medick,NA,q01,0
pic_s24_2017_ne_q01.png,s24_2017_ne,common vetch,NA,q01,0
pic_s24_2017_ne_q01.png,s24_2017_ne,black knapweed,NA,q01,0
pic_s24_2017_ne_q01.png,s24_2017_ne,yarrow,NA,q01,0
pic_s24_2017_ne_q01.png,s24_2017_ne,oxeye daisy,NA,q01,0
pic_s24_2017_ne_q01.png,s24_2017_ne,musk mallow,NA,q01,0
pic_s24_2017_ne_q01.png,s24_2017_ne,wild carrot,NA,q01,0
pic_s24_2017_ne_q01.png,s24_2017_ne,red campion,NA,q01,0
pic_s24_2017_ne_q01.png,s24_2017_ne,white campion,NA,q01,0
pic_s24_2017_ne_q01.png,s24_2017_ne,phacelia,NA,q01,0
pic_s27_2017_ne_q01.png,s27_2017_ne,alsike clover,NA,q01,1
pic_s27_2017_ne_q01.png,s27_2017_ne,crimson clover,NA,q01,0
pic_s27_2017_ne_q01.png,s27_2017_ne,red clover,NA,q01,0
pic_s27_2017_ne_q01.png,s27_2017_ne,sweet clover,NA,q01,1
pic_s27_2017_ne_q01.png,s27_2017_ne,white clover,NA,q01,0
pic_s27_2017_ne_q01.png,s27_2017_ne,sainfoin,NA,q01,0
pic_s27_2017_ne_q01.png,s27_2017_ne,lucerne,NA,q01,1
pic_s27_2017_ne_q01.png,s27_2017_ne,bird's-foot trefoil,NA,q01,0
pic_s27_2017_ne_q01.png,s27_2017_ne,black medick,NA,q01,0
pic_s27_2017_ne_q01.png,s27_2017_ne,common vetch,NA,q01,0
pic_s27_2017_ne_q01.png,s27_2017_ne,black knapweed,NA,q01,0
pic_s27_2017_ne_q01.png,s27_2017_ne,yarrow,NA,q01,0
pic_s27_2017_ne_q01.png,s27_2017_ne,oxeye daisy,NA,q01,0
pic_s27_2017_ne_q01.png,s27_2017_ne,musk mallow,NA,q01,0
pic_s27_2017_ne_q01.png,s27_2017_ne,wild carrot,NA,q01,0
pic_s27_2017_ne_q01.png,s27_2017_ne,red campion,NA,q01,0
pic_s27_2017_ne_q01.png,s27_2017_ne,white campion,NA,q01,0
pic_s27_2017_ne_q01.png,s27_2017_ne,phacelia,NA,q01,1
pic_s06_2017_ne_q01.png,s06_2017_ne,alsike clover,NA,q01,0
pic_s06_2017_ne_q01.png,s06_2017_ne,crimson clover,NA,q01,0
pic_s06_2017_ne_q01.png,s06_2017_ne,red clover,NA,q01,1
pic_s06_2017_ne_q01.png,s06_2017_ne,sweet clover,NA,q01,1
pic_s06_2017_ne_q01.png,s06_2017_ne,white clover,NA,q01,0
pic_s06_2017_ne_q01.png,s06_2017_ne,sainfoin,NA,q01,1
pic_s06_2017_ne_q01.png,s06_2017_ne,lucerne,NA,q01,1
pic_s06_2017_ne_q01.png,s06_2017_ne,bird's-foot trefoil,NA,q01,0
pic_s06_2017_ne_q01.png,s06_2017_ne,black medick,NA,q01,1
pic_s06_2017_ne_q01.png,s06_2017_ne,common vetch,NA,q01,0
pic_s06_2017_ne_q01.png,s06_2017_ne,black knapweed,NA,q01,0
pic_s06_2017_ne_q01.png,s06_2017_ne,yarrow,NA,q01,0
pic_s06_2017_ne_q01.png,s06_2017_ne,oxeye daisy,NA,q01,0
pic_s06_2017_ne_q01.png,s06_2017_ne,musk mallow,NA,q01,0
pic_s06_2017_ne_q01.png,s06_2017_ne,wild carrot,NA,q01,0
pic_s06_2017_ne_q01.png,s06_2017_ne,red campion,NA,q01,0
pic_s06_2017_ne_q01.png,s06_2017_ne,white campion,NA,q01,0
pic_s06_2017_ne_q01.png,s06_2017_ne,phacelia,NA,q01,0
pic_s15_2017_ne_v_q01.png,s15_2017_ne_v,alsike clover,NA,q01,1
pic_s15_2017_ne_v_q01.png,s15_2017_ne_v,crimson clover,NA,q01,0
pic_s15_2017_ne_v_q01.png,s15_2017_ne_v,red clover,NA,q01,1
pic_s15_2017_ne_v_q01.png,s15_2017_ne_v,sweet clover,NA,q01,0
pic_s15_2017_ne_v_q01.png,s15_2017_ne_v,white clover,NA,q01,0
pic_s15_2017_ne_v_q01.png,s15_2017_ne_v,sainfoin,NA,q01,0
pic_s15_2017_ne_v_q01.png,s15_2017_ne_v,lucerne,NA,q01,0
pic_s15_2017_ne_v_q01.png,s15_2017_ne_v,bird's-foot trefoil,NA,q01,1
pic_s15_2017_ne_v_q01.png,s15_2017_ne_v,black medick,NA,q01,0
pic_s15_2017_ne_v_q01.png,s15_2017_ne_v,common vetch,NA,q01,0
pic_s15_2017_ne_v_q01.png,s15_2017_ne_v,black knapweed,NA,q01,0
pic_s15_2017_ne_v_q01.png,s15_2017_ne_v,yarrow,NA,q01,0
pic_s15_2017_ne_v_q01.png,s15_2017_ne_v,oxeye daisy,NA,q01,0
pic_s15_2017_ne_v_q01.png,s15_2017_ne_v,musk mallow,NA,q01,0
pic_s15_2017_ne_v_q01.png,s15_2017_ne_v,wild carrot,NA,q01,0
pic_s15_2017_ne_v_q01.png,s15_2017_ne_v,red campion,NA,q01,0
pic_s15_2017_ne_v_q01.png,s15_2017_ne_v,white campion,NA,q01,0
pic_s15_2017_ne_v_q01.png,s15_2017_ne_v,phacelia,NA,q01,0
pic_s03_2017_ne_q01.png,s03_2017_ne,alsike clover,NA,q01,1
pic_s03_2017_ne_q01.png,s03_2017_ne,crimson clover,NA,q01,1
pic_s03_2017_ne_q01.png,s03_2017_ne,red clover,NA,q01,1
pic_s03_2017_ne_q01.png,s03_2017_ne,sweet clover,NA,q01,0
pic_s03_2017_ne_q01.png,s03_2017_ne,white clover,NA,q01,1
pic_s03_2017_ne_q01.png,s03_2017_ne,sainfoin,NA,q01,1
pic_s03_2017_ne_q01.png,s03_2017_ne,lucerne,NA,q01,1
pic_s03_2017_ne_q01.png,s03_2017_ne,bird's-foot trefoil,NA,q01,0
pic_s03_2017_ne_q01.png,s03_2017_ne,black medick,NA,q01,1
pic_s03_2017_ne_q01.png,s03_2017_ne,common vetch,NA,q01,0
pic_s03_2017_ne_q01.png,s03_2017_ne,red campion,NA,q01,0
pic_s03_2017_ne_q01.png,s03_2017_ne,white campion,NA,q01,1
pic_s03_2017_ne_q01.png,s03_2017_ne,phacelia,NA,q01,1
pic_s03_2017_ne_q01.png,s03_2017_ne,fenugreek,NA,q01,0
pic_s07_2017_ne_q01.png,s07_2017_ne,alsike clover,NA,q01,0
pic_s07_2017_ne_q01.png,s07_2017_ne,crimson clover,NA,q01,0
pic_s07_2017_ne_q01.png,s07_2017_ne,red clover,NA,q01,1
pic_s07_2017_ne_q01.png,s07_2017_ne,sweet clover,NA,q01,0
pic_s07_2017_ne_q01.png,s07_2017_ne,white clover,NA,q01,0
pic_s07_2017_ne_q01.png,s07_2017_ne,sainfoin,NA,q01,0
pic_s07_2017_ne_q01.png,s07_2017_ne,lucerne,NA,q01,1
pic_s07_2017_ne_q01.png,s07_2017_ne,bird's-foot trefoil,NA,q01,0
pic_s07_2017_ne_q01.png,s07_2017_ne,black medick,NA,q01,0
pic_s07_2017_ne_q01.png,s07_2017_ne,common vetch,NA,q01,0
pic_s07_2017_ne_q01.png,s07_2017_ne,black knapweed,NA,q01,0
pic_s07_2017_ne_q01.png,s07_2017_ne,yarrow,NA,q01,0
pic_s07_2017_ne_q01.png,s07_2017_ne,oxeye daisy,NA,q01,0
pic_s07_2017_ne_q01.png,s07_2017_ne,musk mallow,NA,q01,1
pic_s07_2017_ne_q01.png,s07_2017_ne,wild carrot,NA,q01,0
pic_s07_2017_ne_q01.png,s07_2017_ne,red campion,NA,q01,0
pic_s07_2017_ne_q01.png,s07_2017_ne,white campion,NA,q01,0
pic_s07_2017_ne_q01.png,s07_2017_ne,phacelia,NA,q01,0
pic_s14_2017_ne_v_q01.png,s14_2017_ne_v,alsike clover,NA,q01,1
pic_s14_2017_ne_v_q01.png,s14_2017_ne_v,crimson clover,NA,q01,0
pic_s14_2017_ne_v_q01.png,s14_2017_ne_v,red clover,NA,q01,1
pic_s14_2017_ne_v_q01.png,s14_2017_ne_v,sweet clover,NA,q01,0
pic_s14_2017_ne_v_q01.png,s14_2017_ne_v,white clover,NA,q01,0
pic_s14_2017_ne_v_q01.png,s14_2017_ne_v,sainfoin,NA,q01,1
pic_s14_2017_ne_v_q01.png,s14_2017_ne_v,lucerne,NA,q01,1
pic_s14_2017_ne_v_q01.png,s14_2017_ne_v,bird's-foot trefoil,NA,q01,1
pic_s14_2017_ne_v_q01.png,s14_2017_ne_v,black medick,NA,q01,0
pic_s14_2017_ne_v_q01.png,s14_2017_ne_v,common vetch,NA,q01,1
pic_s14_2017_ne_v_q01.png,s14_2017_ne_v,black knapweed,NA,q01,0
pic_s14_2017_ne_v_q01.png,s14_2017_ne_v,yarrow,NA,q01,0
pic_s14_2017_ne_v_q01.png,s14_2017_ne_v,oxeye daisy,NA,q01,0
pic_s14_2017_ne_v_q01.png,s14_2017_ne_v,musk mallow,NA,q01,0
pic_s14_2017_ne_v_q01.png,s14_2017_ne_v,wild carrot,NA,q01,0
pic_s14_2017_ne_v_q01.png,s14_2017_ne_v,red campion,NA,q01,1
pic_s14_2017_ne_v_q01.png,s14_2017_ne_v,white campion,NA,q01,0
pic_s14_2017_ne_v_q01.png,s14_2017_ne_v,phacelia,NA,q01,0
pic_s23_2017_ne_q01.png,s23_2017_ne,alsike clover,NA,q01,0
pic_s23_2017_ne_q01.png,s23_2017_ne,crimson clover,NA,q01,0
pic_s23_2017_ne_q01.png,s23_2017_ne,red clover,NA,q01,0
pic_s23_2017_ne_q01.png,s23_2017_ne,sweet clover,NA,q01,0
pic_s23_2017_ne_q01.png,s23_2017_ne,white clover,NA,q01,0
pic_s23_2017_ne_q01.png,s23_2017_ne,sainfoin,NA,q01,0
pic_s23_2017_ne_q01.png,s23_2017_ne,lucerne,NA,q01,0
pic_s23_2017_ne_q01.png,s23_2017_ne,bird's-foot trefoil,NA,q01,0
pic_s23_2017_ne_q01.png,s23_2017_ne,black medick,NA,q01,0
pic_s23_2017_ne_q01.png,s23_2017_ne,common vetch,NA,q01,0
pic_s23_2017_ne_q01.png,s23_2017_ne,black knapweed,NA,q01,0
pic_s23_2017_ne_q01.png,s23_2017_ne,yarrow,NA,q01,0
pic_s23_2017_ne_q01.png,s23_2017_ne,oxeye daisy,NA,q01,0
pic_s23_2017_ne_q01.png,s23_2017_ne,musk mallow,NA,q01,0
pic_s23_2017_ne_q01.png,s23_2017_ne,wild carrot,NA,q01,0
pic_s23_2017_ne_q01.png,s23_2017_ne,red campion,NA,q01,0
pic_s23_2017_ne_q01.png,s23_2017_ne,white campion,NA,q01,0
pic_s23_2017_ne_q01.png,s23_2017_ne,phacelia,NA,q01,1
pic_s23_2017_ne_q01.png,s23_2017_ne,tufted vetch,NA,q01,0
pic_s16_2017_ne_v_q01.png,s16_2017_ne_v,alsike clover,NA,q01,1
pic_s16_2017_ne_v_q01.png,s16_2017_ne_v,crimson clover,NA,q01,0
pic_s16_2017_ne_v_q01.png,s16_2017_ne_v,red clover,NA,q01,1
pic_s16_2017_ne_v_q01.png,s16_2017_ne_v,sweet clover,NA,q01,0
pic_s16_2017_ne_v_q01.png,s16_2017_ne_v,white clover,NA,q01,0
pic_s16_2017_ne_v_q01.png,s16_2017_ne_v,sainfoin,NA,q01,0
pic_s16_2017_ne_v_q01.png,s16_2017_ne_v,lucerne,NA,q01,0
pic_s16_2017_ne_v_q01.png,s16_2017_ne_v,bird's-foot trefoil,NA,q01,1
pic_s16_2017_ne_v_q01.png,s16_2017_ne_v,black medick,NA,q01,0
pic_s16_2017_ne_v_q01.png,s16_2017_ne_v,common vetch,NA,q01,1
pic_s16_2017_ne_v_q01.png,s16_2017_ne_v,black knapweed,NA,q01,0
pic_s16_2017_ne_v_q01.png,s16_2017_ne_v,yarrow,NA,q01,0
pic_s16_2017_ne_v_q01.png,s16_2017_ne_v,oxeye daisy,NA,q01,0
pic_s16_2017_ne_v_q01.png,s16_2017_ne_v,musk mallow,NA,q01,0
pic_s16_2017_ne_v_q01.png,s16_2017_ne_v,wild carrot,NA,q01,0
pic_s16_2017_ne_v_q01.png,s16_2017_ne_v,red campion,NA,q01,0
pic_s16_2017_ne_v_q01.png,s16_2017_ne_v,white campion,NA,q01,0
pic_s16_2017_ne_v_q01.png,s16_2017_ne_v,phacelia,NA,q01,0
pic_s29_2018_ne_q01.png,s29_2018_ne,alsike clover,NA,q01,1
pic_s29_2018_ne_q01.png,s29_2018_ne,crimson clover,NA,q01,0
pic_s29_2018_ne_q01.png,s29_2018_ne,red clover,NA,q01,1
pic_s29_2018_ne_q01.png,s29_2018_ne,sweet clover,NA,q01,0
pic_s29_2018_ne_q01.png,s29_2018_ne,white clover,NA,q01,0
pic_s29_2018_ne_q01.png,s29_2018_ne,bird's-foot trefoil,NA,q01,1
pic_s29_2018_ne_q01.png,s29_2018_ne,sainfoin,NA,q01,0
pic_s29_2018_ne_q01.png,s29_2018_ne,lucerne,NA,q01,1
pic_s29_2018_ne_q01.png,s29_2018_ne,black medick,NA,q01,0
pic_s29_2018_ne_q01.png,s29_2018_ne,common vetch,NA,q01,0
pic_s29_2018_ne_q01.png,s29_2018_ne,black knapweed,NA,q01,0
pic_s29_2018_ne_q01.png,s29_2018_ne,yarrow,NA,q01,0
pic_s29_2018_ne_q01.png,s29_2018_ne,oxeye daisy,NA,q01,0
pic_s29_2018_ne_q01.png,s29_2018_ne,musk mallow,NA,q01,0
pic_s29_2018_ne_q01.png,s29_2018_ne,wild carrot,NA,q01,0
pic_s29_2018_ne_q01.png,s29_2018_ne,fenugreek,NA,q01,0
pic_s29_2018_ne_q01.png,s29_2018_ne,red campion,NA,q01,0
pic_s29_2018_ne_q01.png,s29_2018_ne,white campion,NA,q01,0
pic_s29_2018_ne_q01.png,s29_2018_ne,phacelia,NA,q01,0
pic_s29_2018_ne_q01.png,s29_2018_ne,borage,NA,q01,0
pic_s18_2018_ne_q01.png,s18_2018_ne,clover,Y,q01,1
pic_s18_2018_ne_q01.png,s18_2018_ne,crimson clover,,q01,1
pic_s18_2018_ne_q01.png,s18_2018_ne,red clover,Y,q01,1
pic_s18_2018_ne_q01.png,s18_2018_ne,sweet clover,,q01,1
pic_s18_2018_ne_q01.png,s18_2018_ne,white clover,,q01,1
pic_s18_2018_ne_q01.png,s18_2018_ne,bird's-foot trefoil,Y,q01,1
pic_s18_2018_ne_q01.png,s18_2018_ne,sainfoin,,q01,1
pic_s18_2018_ne_q01.png,s18_2018_ne,lucerne,Y,q01,1
pic_s18_2018_ne_q01.png,s18_2018_ne,black medick,,q01,1
pic_s18_2018_ne_q01.png,s18_2018_ne,common vetch,,q01,1
pic_s18_2018_ne_q01.png,s18_2018_ne,black knapweed,,q01,1
pic_s18_2018_ne_q01.png,s18_2018_ne,yarrow,,q01,1
pic_s18_2018_ne_q01.png,s18_2018_ne,oxeye daisy,,q01,1
pic_s18_2018_ne_q01.png,s18_2018_ne,musk mallow,,q01,1
pic_s18_2018_ne_q01.png,s18_2018_ne,wild carrot,,q01,1
pic_s18_2018_ne_q01.png,s18_2018_ne,fenugreek,,q01,1
pic_s18_2018_ne_q01.png,s18_2018_ne,red campion,,q01,1
pic_s18_2018_ne_q01.png,s18_2018_ne,white campion,,q01,1
pic_s18_2018_ne_q01.png,s18_2018_ne,phacelia,,q01,1
pic_s18_2018_ne_q01.png,s18_2018_ne,borage,,q01,1
pic_s19_2018_ne_q01.png,s19_2018_ne,alsike clover,NA,q01,1
pic_s19_2018_ne_q01.png,s19_2018_ne,crimson clover,NA,q01,0
pic_s19_2018_ne_q01.png,s19_2018_ne,red clover,NA,q01,1
pic_s19_2018_ne_q01.png,s19_2018_ne,sweet clover,NA,q01,0
pic_s19_2018_ne_q01.png,s19_2018_ne,white clover,NA,q01,0
pic_s19_2018_ne_q01.png,s19_2018_ne,bird's-foot trefoil,NA,q01,0
pic_s19_2018_ne_q01.png,s19_2018_ne,sainfoin,NA,q01,0
pic_s19_2018_ne_q01.png,s19_2018_ne,lucerne,NA,q01,1
pic_s19_2018_ne_q01.png,s19_2018_ne,black medick,NA,q01,1
